DATE,WM2NS
2018-04-09,14148.5
2018-04-16,14169.7
2018-04-23,14008.6
2018-04-30,13915.7
2018-05-07,13975.4
2018-05-14,13991.8
2018-05-21,13976.1
2018-05-28,13958.9
2018-06-04,14080.9
2018-06-11,14091.2
2018-06-18,14108.4
2018-06-25,13987.3
2018-07-02,14112.3
2018-07-09,14149.7
2018-07-16,14140.3
2018-07-23,14058.1
2018-07-30,14069.7
2018-08-06,14169.2
2018-08-13,14177.5
2018-08-20,14166.7
2018-08-27,14130.4
2018-09-03,14222.0
2018-09-10,14227.0
2018-09-17,14233.1
2018-09-24,14113.1
2018-10-01,14202.0
2018-10-08,14213.3
2018-10-15,14243.1
2018-10-22,14189.0
2018-10-29,14152.2
2018-11-05,14243.1
2018-11-12,14232.9
2018-11-19,14271.1
2018-11-26,14221.3
2018-12-03,14349.5
2018-12-10,14393.2
2018-12-17,14414.7
2018-12-24,14482.4
2018-12-31,14529.5
2019-01-07,14533.9
2019-01-14,14485.4
2019-01-21,14393.7
2019-01-28,14324.5
2019-02-04,14389.3
2019-02-11,14393.8
2019-02-18,14393.7
2019-02-25,14373.7
2019-03-04,14519.1
2019-03-11,14561.9
2019-03-18,14571.7
2019-03-25,14532.7
2019-04-01,14652.3
2019-04-08,14700.3
2019-04-15,14722.7
2019-04-22,14590.0
2019-04-29,14475.5
2019-05-06,14553.0
2019-05-13,14551.0
2019-05-20,14575.9
2019-05-27,14565.3
2019-06-03,14697.1
2019-06-10,14738.6
2019-06-17,14779.2
2019-06-24,14659.0
2019-07-01,14778.0
2019-07-08,14854.4
2019-07-15,14810.0
2019-07-22,14777.7
2019-07-29,14789.1
2019-08-05,14923.6
2019-08-12,14906.6
2019-08-19,14893.2
2019-08-26,14831.4
2019-09-02,14946.3
2019-09-09,14997.4
2019-09-16,15002.7
2019-09-23,14933.2
2019-09-30,15012.9
2019-10-07,15113.9
2019-10-14,15125.5
2019-10-21,15116.7
2019-10-28,15077.4
2019-11-04,15219.6
2019-11-11,15222.3
2019-11-18,15281.7
2019-11-25,15231.3
2019-12-02,15326.6
2019-12-09,15336.8
2019-12-16,15427.8
2019-12-23,15440.9
2019-12-30,15452.4
2020-01-06,15484.9
2020-01-13,15452.8
2020-01-20,15406.7
2020-01-27,15294.0
2020-02-03,15358.3
2020-02-10,15361.7
2020-02-17,15392.9
2020-02-24,15328.1
2020-03-02,15488.6
2020-03-09,15624.4
2020-03-16,15818.1
2020-03-23,16193.0
2020-03-30,16614.3
2020-04-06,16773.1
2020-04-13,16919.6
2020-04-20,17180.3
2020-04-27,17318.7
2020-05-04,17536.3
2020-05-11,17673.8
2020-05-18,17805.4
2020-05-25,17780.1
2020-06-01,17910.9
2020-06-08,18022.7
2020-06-15,18110.7
2020-06-22,18101.2
2020-06-29,18155.5
2020-07-06,18338.6
2020-07-13,18341.8
2020-07-20,18240.3
2020-07-27,18108.3
2020-08-03,18220.4
2020-08-10,18286.9
2020-08-17,18356.5
2020-08-24,18257.4
2020-08-31,18376.9
2020-09-07,18512.7
2020-09-14,18596.7
2020-09-21,18550.0
2020-09-28,18488.3
2020-10-05,18632.7
2020-10-12,18646.0
2020-10-19,18702.3
2020-10-26,18640.9
2020-11-02,18829.5
2020-11-09,18910.0
2020-11-16,18993.5
2020-11-23,18969.1
2020-11-30,19049.9
2020-12-07,19156.4
2020-12-14,19206.5
2020-12-21,19260.6
2020-12-28,19292.9
2021-01-04,19364.5
2021-01-11,19424.4
2021-01-18,19396.9
2021-01-25,19279.6
2021-02-01,19385.3
2021-02-08,19419.2
2021-02-15,19527.4
2021-02-22,19540.0
2021-03-01,19626.5
2021-03-08,19719.1
2021-03-15,19857.7
2021-03-22,20036.8
2021-03-29,20112.1
2021-04-05,20315.8
2021-04-12,20305.0
2021-04-19,20298.4
2021-04-26,20144.9
2021-05-03,20268.8
2021-05-10,20348.0
2021-05-17,20405.7
2021-05-24,20228.8
2021-05-31,20275.0
2021-06-07,20418.6
2021-06-14,20503.6
2021-06-21,20409.9
2021-06-28,20362.7
2021-07-05,20539.2
2021-07-12,20534.6
2021-07-19,20564.5
2021-07-26,20517.1
2021-08-02,20643.9
2021-08-09,20701.4
2021-08-16,20771.9
2021-08-23,20747.2
2021-08-30,20779.0
2021-09-06,20920.6
2021-09-13,20965.0
2021-09-20,20921.6
2021-09-27,20831.4
2021-10-04,21036.1
2021-10-11,21061.1
2021-10-18,21137.0
2021-10-25,21025.4
2021-11-01,21169.0
2021-11-08,21251.0
2021-11-15,21316.7
2021-11-22,21346.1
2021-11-29,21373.9
2021-12-06,21516.6
2021-12-13,21571.3
2021-12-20,21697.7
2021-12-27,21741.8
2022-01-03,21718.2
2022-01-10,21733.7
2022-01-17,21707.4
2022-01-24,21523.2
2022-01-31,21512.2
2022-02-07,21549.8
2022-02-14,21562.5
2022-02-21,21566.8
2022-02-28,21651.9
2022-03-07,21805.5
2022-03-14,21856.2
2022-03-21,21858.8
2022-03-28,21845.5
2022-04-04,21991.3
2022-04-11,21977.4
2022-04-18,22050.8
2022-04-25,21603.8
2022-05-02,21610.8
2022-05-09,21547.3
2022-05-16,21579.0
2022-05-23,21534.7
2022-05-30,21521.1
2022-06-06,21620.9
2022-06-13,21595.4
2022-06-20,21552.8
2022-06-27,21527.4
2022-07-04,21626.8
2022-07-11,21594.1
2022-07-18,21572.1
2022-07-25,21525.3
2022-08-01,21595.9
2022-08-08,21583.2
2022-08-15,21599.5
2022-08-22,21544.6
2022-08-29,21479.0
2022-09-05,21543.1
2022-09-12,21543.3
2022-09-19,21491.8
2022-09-26,21363.1
2022-10-03,21438.2
2022-10-10,21397.1
2022-10-17,21450.9
2022-10-24,21315.2
2022-10-31,21371.1
2022-11-07,21399.5
2022-11-14,21408.2
2022-11-21,21412.8
2022-11-28,21373.2
2022-12-05,21442.4
2022-12-12,21438.7
2022-12-19,21453.1
2022-12-26,21428.3
2023-01-02,21396.3
2023-01-09,21449.0
2023-01-16,21360.1
2023-01-23,21213.6
2023-01-30,21121.6
2023-02-06,21191.1
2023-02-13,21124.5
2023-02-20,21117.5
2023-02-27,21116.5
2023-03-06,21161.8
2023-03-13,21157.4
2023-03-20,21020.5
2023-03-27,20897.5
2023-04-03,20952.4
2023-04-10,21050.4
2023-04-17,20971.6
2023-04-24,20691.1
2023-05-01,20653.9
2023-05-08,20717.3
2023-05-15,20711.9
2023-05-22,20700.8
2023-05-29,20756.4
2023-06-05,20862.5
2023-06-12,20787.8
2023-06-19,20755.9
2023-06-26,20683.2
2023-07-03,20780.5
2023-07-10,20793.4
2023-07-17,20783.7
2023-07-24,20672.5
2023-07-31,20717.1
2023-08-07,20771.3
2023-08-14,20750.0
2023-08-21,20690.0
2023-08-28,20662.8
2023-09-04,20747.5
2023-09-11,20743.7
2023-09-18,20714.1
2023-09-25,20609.8
2023-10-02,20706.0
2023-10-09,20705.1
2023-10-16,20760.5
2023-10-23,20601.5
2023-10-30,20600.9
2023-11-06,20718.8
2023-11-13,20721.7
2023-11-20,20776.5
2023-11-27,20770.2
2023-12-04,20873.1
2023-12-11,20871.1
2023-12-18,20946.9
2023-12-25,20975.2
2024-01-01,20959.2
