idt,market,maturity_target,mu,sd,skew,kurt,p10,p50,p90,lg_change_decr,prDec,lg_change_incr,prInc,Avg,Open,High,Low,Close
2010-12-15,sp6m,6.0,-0.006780396,0.143671828,-1.049979333,1.93259327,-0.192300518,0.015421506,0.149259318,-20.0,0.094212987,20.0,0.034574874,1281.9736439098012,0.04173251537344193,0.05816670028501847,0.01832158616986419,0.06685930692763245
2010-12-31,sp6m,6.0,-0.004345409,0.147378013,-1.146074641,2.120284722,-0.196214197,0.021098494,0.152188558,-20.0,0.097294743,20.0,0.035358959,1331.697781032986,0.03898703654653093,0.0756561343333338,0.03898703654653093,0.0399272053628239
2011-01-14,sp6m,6.0,-0.002655778,0.130057142,-1.132854918,2.111938891,-0.172118353,0.019664462,0.135743391,-20.0,0.078667227,20.0,0.019327979,1319.9208374023438,0.01876745075733042,0.04072920756490936,-0.008058740854089187,-0.0048834279122090905
2011-01-31,sp6m,6.0,-0.000884881,0.127725082,-1.205496046,2.338817032,-0.168125225,0.022277402,0.132984333,-20.0,0.076021229,20.0,0.016091395,1196.497998046875,0.0050180007658566644,0.01639520801446078,-0.1549206940829848,-0.06557369753217569
2011-02-15,sp6m,6.0,-0.005533827,0.126050357,-1.258159472,2.486425216,-0.169204673,0.018377831,0.125459259,-20.0,0.076884102,20.0,0.010888882,1165.5160034179687,-0.11913373112025896,-0.09432651605180714,-0.16938019266112894,-0.09299515169040808
2011-02-28,sp6m,6.0,-0.004302107,0.138992308,-1.273893179,2.42794335,-0.186380452,0.023247501,0.138693508,-20.0,0.090169565,20.0,0.019227739,1187.340840657552,-0.11934479637672961,-0.075495300145168,-0.1555116161845484,-0.09320196736224681
2011-03-15,sp6m,6.0,-0.006937275,0.162492899,-1.27467874,2.343946327,-0.224101466,0.025921938,0.159191937,-20.0,0.115652386,20.0,0.043188757,1173.9854625355113,-0.07483738662632303,-0.049149453696302366,-0.14016536324286064,-0.12484642566584808
2011-03-31,sp6m,6.0,-0.003323239,0.134763049,-1.184753531,2.249331822,-0.178989184,0.020706369,0.138514089,-20.0,0.08423228,20.0,0.021224945,1167.7254527698863,-0.13367894049578416,-0.07941623127258204,-0.20993194189854059,-0.09900069069156782
2011-04-15,sp6m,6.0,-0.001754529,0.132193163,-1.242858063,2.468151992,-0.173818028,0.022658084,0.135774375,-20.0,0.080589126,20.0,0.018007543,1238.4679931640626,-0.07488125027836152,-0.02068718638348431,-0.10219310820738076,-0.05160921207133342
2011-04-29,sp6m,6.0,-0.001146812,0.118887387,-1.155787782,2.173330756,-0.155760746,0.019266966,0.124768692,-20.0,0.066626849,20.0,0.01068628,1249.3550048828124,-0.059408024982984045,-0.059408024982984045,-0.11504585181310445,-0.08556902224934684
2011-05-13,sp6m,6.0,-0.007962115,0.140700385,-1.195446731,2.109219798,-0.194414018,0.019095811,0.139084076,-20.0,0.095992279,20.0,0.020955265,1206.136385830966,-0.056841464694494935,-0.056525002195967164,-0.1437398686960461,-0.07029550530144979
2011-05-31,sp6m,6.0,-0.006181902,0.128001016,-1.243325217,2.429936753,-0.172450193,0.017386386,0.126783215,-20.0,0.079990991,20.0,0.013231756,1243.267245205966,-0.11695820798284462,-0.05984336216537078,-0.11695820798284462,-0.1011814942841775
